state_id,name
"22",Churachandpur
"22",Chandel
"22",Imphal East
"22",Senapati
"22",Tamenglong
"22",Thoubal
"22",Ukhrul
"22",Imphal West
"23",East Garo Hills
"23",East Khasi Hills
"23",Jaintia Hills
"23",Ri-Bhoi
"23",South Garo Hills
"23",West Garo Hills
"23",West Khasi Hills
"24",Aizawl
"24",Champhai
"24",Kolasib
"24",Lawngtlai
"24",Lunglei
"24",Mamit
"24",Saiha
"24",Serchhip
"25",Dimapur
"25",Kohima
"25",Mokokchung
"25",Mon
"25",Phek
"25",Tuensang
"25",Wokha
"25",Zunheboto
"26",Angul
"26",Boudh
"26",Bhadrak
"26",Bolangir
"26",Bargarh
"26",Baleswar
"26",Cuttack
"26",Debagarh
"26",Dhenkanal
"26",Ganjam
"26",Jharsuguda
"26",Jajapur
"26",Jagatsinghpur
"26",Khordha
"26",Kendujhar
"26",Kalahandi
"26",Kandhamal
"26",Koraput
"26",Kendrapara
"26",Malkangiri
"26",Mayurbhanj
"26",Nabarangpur
"26",Nuapada
"26",Nayagarh
"26",Puri
"26",Rayagada
"26",Sambalpur
"26",Subarnapur
"26",Sundargarh
"27",Karaikal
"27",Mahe
"27",Puducherry
"27",Yanam
"28",Amritsar
"28",Bathinda
"28",Firozpur
"28",Faridkot
"28",Fatehgarh Sahib
"28",Gurdaspur
"28",Hoshiarpur
"28",Jalandhar
"28",Kapurthala
"28",Ludhiana
"28",Mansa
"28",Moga
"28",Mukatsar
"28",Nawan Shehar
"28",Patiala
"28",Rupnagar
"28",Sangrur
"29",Ajmer
"29",Alwar
"29",Bikaner
"29",Barmer
"29",Banswara
"29",Bharatpur
"29",Baran
"29",Bundi
"29",Bhilwara
"29",Churu
"29",Chittorgarh
"29",Dausa
"29",Dholpur
"29",Dungapur
"29",Ganganagar
"29",Hanumangarh
"29",Juhnjhunun
"29",Jalore
"29",Jodhpur
"29",Jaipur
"29",Jaisalmer
"29",Jhalawar
"29",Karauli
"29",Kota
"29",Nagaur
"29",Pali
"29",Pratapgarh
"29",Rajsamand
"29",Sikar
"29",Sawai Madhopur
"29",Sirohi
"29",Tonk
"29",Udaipur
"30",East Sikkim
"30",North Sikkim
"30",South Sikkim
"30",West Sikkim
"31",Ariyalur
"31",Chennai
"31",Coimbatore
"31",Cuddalore
"31",Dharmapuri
